,OE
232,125.52649500000001
233,178.969596
234,152.052582
235,110.45715199999998
236,158.353913
237,136.408434
238,856.4238
239,180.061821
240,78.44058100000001
241,123.44620399999998
242,223.88219099999998
243,316.34027799999996
244,257.124561
245,780.747359
246,276.231937
247,108.68500499999999
248,114.820911
249,168.57124
250,38.477274
251,241.49529499999997
252,299.398709
253,227.68320099999997
254,808.0436850000001
255,171.88025100000002
256,157.894364
257,130.295641
258,32.083522
259,143.33848
260,126.673533
261,832.683268
262,102.60245999999998
263,148.566505
264,227.22904499999999
265,169.275518
266,242.684589
267,106.389589
268,228.02056
269,175.544597
270,211.59851299999997
271,123.72629500000001
272,116.32644999999998
273,108.306191
274,195.33055600000003
275,151.310382
276,147.577042
277,62.77158
278,178.735754
279,176.755422
280,95.515327
281,146.751013
282,38.03318
283,159.29625199999998
284,115.17926399999999
285,107.647303
286,255.541052
287,135.263907
288,254.392344
289,73.8501
290,264.81921400000004
291,38.603019
292,322.609651
293,97.76782800000001
294,142.26422399999998
295,126.30723400000001
296,913.901619
297,148.907585
298,162.94117999999997
299,38.710203
300,813.108354
301,139.085704
302,96.28982800000001
303,139.530808
304,144.634973
305,184.050405
306,283.195672
307,124.464788
308,142.89705500000002
309,139.246292
310,82.939998
311,143.764055
312,71.479625
313,142.216642
314,145.53507100000002
315,168.78904100000003
316,127.296004
317,331.737836
318,276.51523199999997
319,205.004412
320,155.40906999999999
321,171.54281400000002
322,77.94998799999999
323,152.359762
324,121.08445200000001
325,213.551894
326,145.793196
327,302.73807700000003
328,99.16039999999998
329,38.578669
330,144.86737599999998
331,112.032059
332,164.288494
333,85.66242299999999
334,161.24238400000002
335,37.951145
336,380.085823
337,32.083522
338,94.70637400000001
339,148.901973
340,44.648198
341,131.87847200000002
342,140.16591599999998
343,103.377305
344,150.78200700000002
345,154.68643600000001
346,69.01852600000001
347,69.18381
348,115.354467
349,118.056188
350,38.116451
351,826.11401
352,117.924395
353,32.083522
354,103.62331800000001
355,179.94298600000002
356,159.85075400000002
357,242.548854
358,866.5116929999999
359,90.298654
360,817.0211280000001
361,32.083522
362,242.183109
363,135.50955
364,85.746891
365,185.122518
366,122.620382
367,225.050347
368,156.985862
369,159.42708999999996
370,143.156432
371,38.070557
372,95.250238
373,90.925299
374,140.192256
375,212.57552699999997
376,38.060719
377,101.20948999999999
378,142.90519600000002
379,184.01818400000002
380,307.25281600000005
381,40.151135
382,141.629166
383,805.3909610000001
384,212.66997599999996
385,148.12934700000002
386,119.12585200000001
387,253.272504
388,89.350674
389,796.3968850000001
390,107.560798
391,149.847396
392,180.20584100000002
393,132.072398
394,46.662222
395,1002.997095
396,99.083797
397,70.13568599999999
398,78.19260299999999
399,102.16979699999999
400,190.824728
401,229.19344199999998
402,37.986661999999995
403,38.025963
404,75.40095300000002
405,134.989036
406,208.93296699999996
407,152.33171399999998
408,158.84146799999996
409,829.321369
410,296.656422
411,132.337126
412,108.50820900000001
413,172.154449
414,272.240938
415,119.587123
416,226.59455499999996
417,90.93003300000001
418,249.383914
419,206.42066
420,38.591137
421,38.329388
422,860.6494970000001
423,131.163854
424,391.017325
425,798.100717
426,797.082666
427,155.35516800000002
428,139.218979
429,271.315874
430,278.08423799999997
431,199.97961699999996
432,140.87087200000002
433,282.131847
434,120.26910999999998
435,128.110272
436,144.565101
437,128.87764099999998
438,802.327423
439,125.78413
440,267.69591199999996
441,317.010005
442,38.00354
443,291.608331
444,255.99797299999997
445,99.24717500000001
446,127.044202
447,894.8275900000001
448,151.120524
449,32.083522
450,38.007615
451,147.645109
452,175.141043
453,162.705736
454,238.82237800000001
455,831.3186210000001
456,104.37783
457,38.100921
458,179.051293
459,823.0443250000001
460,93.58592300000001
461,247.146598
462,287.856388
463,250.542988
464,160.960648
465,242.68940699999996
466,153.36136499999998
467,148.976116
468,38.402398
469,252.62711199999998
470,292.481812
471,304.059955
472,104.167268
473,150.016011
474,145.44552900000002
475,147.600769
476,139.305991
477,330.914534
478,37.981433
479,32.083522
480,125.232531
481,104.56053500000002
482,120.32226299999999
483,142.065982
484,835.2800090000001
485,126.301834
486,138.50136600000002
487,220.67206199999998
488,227.166243
489,123.57874800000002
490,256.462586
491,322.380237
492,32.083522
493,38.357807
494,162.952255
495,72.972369
496,101.28757
497,175.134174
498,182.702253
499,259.259885
500,141.242617
501,91.701778
502,156.270364
503,229.087226
504,38.057328999999996
505,869.5504579999999
506,110.316798
507,214.57504799999998
508,162.77488200000002
509,146.753103
510,225.73799599999998
511,241.12102
512,32.083522
513,234.69971
514,113.867159
515,118.05907000000002
